ticker,first_date,last_date,fist_trade,last_trade,rows,columns,unique_dates
AGFS,2022-06-01,2024-12-19,08:45:00,18:15:00,18736,10,641
BGI$,2022-06-01,2024-12-19,09:00:00,17:45:00,18249,10,641
CCM$,2022-06-01,2024-12-19,09:00:00,17:45:00,19185,10,641
DI1$,2022-06-01,2024-12-19,09:00:00,17:45:00,22647,10,641
DOL$,2022-06-01,2024-12-19,09:00:00,18:15:00,23784,10,641
GOLD11,2022-06-01,2024-12-19,10:00:00,18:15:00,18728,10,641
IBOV,2022-06-01,2024-12-19,08:45:00,18:15:00,18736,10,641
ICF$,2022-06-01,2024-12-19,09:00:00,17:30:00,15995,10,641
ICON,2022-06-01,2024-12-19,08:45:00,18:15:00,18736,10,641
IFIX,2022-06-01,2024-12-19,08:45:00,18:15:00,18736,10,641
IND$,2022-06-01,2024-12-19,09:00:00,18:30:00,23779,10,641
IVVB11,2022-06-01,2024-12-19,10:00:00,18:15:00,18734,10,641
