Variable,ADF Statistic,p-value,1%,5%,10%,res
close_BGI$,-0.08116715347524593,0.9512823490494655,-3.4306431313040147,-2.861669554473233,-2.566838958177671,0
close_AGFS,-2.7625523511214327,0.06382519388000094,-3.4306426066474365,-2.86166932260357,-2.566838834758029,0
close_CCM$,-1.6788950269055094,0.44201787998518777,-3.430642816284535,-2.8616694152517668,-2.5668388840728333,0
close_DI1$,-0.7903958228026585,0.8219269558240188,-3.4306431838731717,-2.861669577705938,-2.566838970543982,0
close_DOL$,-1.7978988044217294,0.38150537677336194,-3.430642593555084,-2.861669316817462,-2.566838831678198,0
close_GOLD11,1.1568537976862623,0.9956737968347871,-3.430643039353338,-2.8616695138360395,-2.566838936547295,0
close_IBOV,-1.3828999490850933,0.5904460899959753,-3.430642593555084,-2.861669316817462,-2.566838831678198,0
close_ICF$,1.1022274931272573,0.9952355885426453,-3.430642593555084,-2.861669316817462,-2.566838831678198,0
close_ICON,-2.508108461011216,0.11351389321733146,-3.430642580463903,-2.861669311031872,-2.5668388285986428,0
close_IFIX,-1.2307167433445363,0.660244574239079,-3.4306431838731717,-2.861669577705938,-2.566838970543982,0
close_IND$,-3.268182192600656,0.016362036413443595,-3.430642672126777,-2.8616693515418783,-2.5668388501613184,1
close_IVVB11,1.1163367382168805,0.9953536663693888,-3.430643105026505,-2.8616695428600045,-2.566838951996179,0
close_price_target,-0.0783020822630518,0.9515573014248546,-3.4306431313040147,-2.861669554473233,-2.566838958177671,0
